OrderDate;ReturnDate;SalesOrderNumber;CustomerKey;Customer;BusinessType;Continent;CountryName;StateCode;StateName;CityName;ProductKey;ProductName;SubcategoryName;ProductSize;ProductDetail;CategoryName;ReturnQuantity;UnitPrice;ReturnAmount
29/12/2010;13/01/2011;SO43662;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;262;PRO Weight Gainer;Gainer;1lbs;Cookies;Carbs;3;183.938;551.815
29/12/2010;07/01/2011;SO43692;221;Bro Warehouse;Warehouse;North America;United States;NM;New Mexico;Las Cruces;315;Hydrolyzed Whey Protein;Whey Protein;2lbs;Vanilla;Protein;8;874.794;6998.352
29/12/2010;15/01/2011;SO43686;344;Eagle Fitness;Gym;North America;United States;WA;Washington;Everett;326;Blended Protein;Blended Protein;2lbs;Peanut Butter;Protein;1;419.459;419.459
29/12/2010;16/01/2011;SO43686;344;Eagle Fitness;Gym;North America;United States;WA;Washington;Everett;342;Hydrolyzed Whey Protein;Whey Protein;1lbs;Banana;Protein;1;419.459;419.459
29/12/2010;13/01/2011;SO43686;344;Eagle Fitness;Gym;North America;United States;WA;Washington;Everett;319;Hydrolyzed Whey Protein;Whey Protein;2lbs;Chocolate;Protein;3;874.794;2624.382
29/12/2010;17/01/2011;SO43681;423;Endure Warehouse;Warehouse;North America;United States;MS;Mississippi;Biloxi;342;Hydrolyzed Whey Protein;Whey Protein;1lbs;Banana;Protein;3;419.459;1258.377
29/12/2010;15/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;2;419.459;838.918
29/12/2010;06/01/2011;SO43666;511;Happy Department;Warehouse;North America;United States;CA;California;San Mateo;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;1;419.459;419.459
29/12/2010;14/01/2011;SO43668;514;Helios Warehouse;Warehouse;North America;Canada;BC;British Columbia;Richmond;229;Long-Sleeve Logo Jersey;Jerseys;M;Red;Clothing;4;28.84;115.362
29/12/2010;11/01/2011;SO43689;166;Mindful Department;Warehouse;North America;United States;TX;Texas;Garland;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;4;419.459;1677.836
29/12/2010;08/01/2011;SO43688;161;Monster Healthy;Supplement Store;North America;United States;IN;Indiana;Fort Wayne;270;PRO Weight Gainer;Gainer;1lbs;Vanilla;Carbs;2;183.938;367.876
29/12/2010;10/01/2011;SO43665;146;Monster Well;Supplement Store;North America;United States;WA;Washington;Seattle;348;Isolate Whey Protein;Whey Protein;5lbs;Peanut Butter;Protein;2;2024.994;4049.988
29/12/2010;10/01/2011;SO43694;315;Monsterx;Supplement Store;North America;United States;FL;Florida;Merritt Island;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;3;28.84;86.521
29/12/2010;11/01/2011;SO43673;618;Nutrition A+;Supplement Store;North America;United States;NH;New Hampshire;Plaistow;324;Blended Protein;Blended Protein;2lbs;Chocolate;Protein;2;419.459;838.918
29/12/2010;19/01/2011;SO43680;491;Supplements Body;Supplement Store;North America;United States;CA;California;Modesto;212;Opti-Women Multivitamin;Vitamins;60 Capsules;NA;Vitamins;4;20.187;80.746
29/12/2010;14/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;2;2039.994;4079.988
29/12/2010;06/01/2011;SO43675;670;Supplements League;Supplement Store;North America;United States;MO;Missouri;Odessa;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;2;178.581;357.162
29/12/2010;08/01/2011;SO43677;679;Supplements Micro;Supplement Store;North America;Canada;QC;Quebec;Montreal;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;2;20.187;40.373
29/12/2010;17/01/2011;SO43685;458;Supplements Nurture;Supplement Store;North America;United States;FL;Florida;Destin;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;1;419.459;419.459
29/12/2010;16/01/2011;SO43685;458;Supplements Nurture;Supplement Store;North America;United States;FL;Florida;Destin;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;3;419.459;1258.377
29/01/2011;14/02/2011;SO43855;102;Brute Sports;Warehouse;North America;Canada;ON;Ontario;Toronto;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;2;419.459;838.918
29/01/2011;13/02/2011;SO43855;102;Brute Sports;Warehouse;North America;Canada;ON;Ontario;Toronto;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;2;419.459;838.918
29/01/2011;08/02/2011;SO43855;102;Brute Sports;Warehouse;North America;Canada;ON;Ontario;Toronto;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;1;419.459;419.459
29/01/2011;18/02/2011;SO43855;102;Brute Sports;Warehouse;North America;Canada;ON;Ontario;Toronto;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;178.581;178.581
29/01/2011;15/02/2011;SO43873;78;Circulate Store;Warehouse;North America;United States;CA;California;Ontario;324;Blended Protein;Blended Protein;2lbs;Chocolate;Protein;6;419.459;2516.753
29/01/2011;08/02/2011;SO43873;78;Circulate Store;Warehouse;North America;United States;CA;California;Ontario;310;Hydrolyzed Whey Protein;Whey Protein;5lbs;Chocolate;Protein;2;2146.962;4293.924
29/01/2011;05/02/2011;SO43880;336;Departpad;Warehouse;North America;Canada;QC;Quebec;Montreal;319;Hydrolyzed Whey Protein;Whey Protein;2lbs;Chocolate;Protein;2;874.794;1749.588
29/01/2011;17/02/2011;SO43907;342;Enhance Store;Warehouse;North America;United States;IN;Indiana;Indianapolis;212;Opti-Women Multivitamin;Vitamins;60 Capsules;NA;Vitamins;2;20.187;40.373
29/01/2011;11/02/2011;SO43891;29;Fit and Lift Gym Center;Gym;North America;Canada;ON;Ontario;Chalk Riber;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;2;2024.994;4049.988
29/01/2011;07/02/2011;SO43866;289;Fitness Works;Gym;North America;United States;WA;Washington;Renton;218;Gym Sports Socks;Socks;M;Black;Clothing;2;5.7;11.4
29/01/2011;08/02/2011;SO43866;289;Fitness Works;Gym;North America;United States;WA;Washington;Renton;344;Hydrolyzed Whey Protein;Whey Protein;5lbs;Capuccino;Protein;1;2039.994;2039.994
29/01/2011;12/02/2011;SO43866;289;Fitness Works;Gym;North America;United States;WA;Washington;Renton;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;1;2024.994;2024.994
29/01/2011;16/02/2011;SO43898;84;Function Warehouse;Warehouse;North America;Canada;ON;Ontario;Etobicoke;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;2;178.581;357.162
29/01/2011;14/02/2011;SO43861;584;Heal Sports;Warehouse;North America;United States;GA;Georgia;Savannah;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;3;20.187;60.56
29/01/2011;15/02/2011;SO43867;145;Heart Sports;Warehouse;North America;United States;WA;Washington;Redmond;296;STEAK in Powder;Beef Protein;4lbs;Vanilla;Protein;2;714.704;1429.409
29/01/2011;10/02/2011;SO43894;559;Iron Tribe Fitness;Gym;North America;United States;WY;Wyoming;Cheyenne;219;Gym Sports Socks;Socks;L;Black;Clothing;3;5.7;17.1
29/01/2011;19/02/2011;SO43883;684;Knight Store;Warehouse;North America;United States;CT;Connecticut;Milford;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;3;178.581;535.742
29/01/2011;11/02/2011;SO43888;136;Mindful Sports;Warehouse;North America;Canada;AB;Alberta;Calgary;315;Hydrolyzed Whey Protein;Whey Protein;2lbs;Vanilla;Protein;5;874.794;4373.97
29/01/2011;14/02/2011;SO43905;612;Monster BodyBuild;Supplement Store;North America;United States;FL;Florida;Hollywood;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;1;419.459;419.459
29/01/2011;15/02/2011;SO43905;612;Monster BodyBuild;Supplement Store;North America;United States;FL;Florida;Hollywood;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;1;419.459;419.459
29/01/2011;16/02/2011;SO43905;612;Monster BodyBuild;Supplement Store;North America;United States;FL;Florida;Hollywood;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;178.581;178.581
29/01/2011;07/02/2011;SO43857;533;Monster Movement;Supplement Store;North America;Canada;QC;Quebec;Sillery;326;Blended Protein;Blended Protein;2lbs;Peanut Butter;Protein;2;419.459;838.918
29/01/2011;06/02/2011;SO43845;206;Monster Planned;Supplement Store;North America;United States;NC;North Carolina;Winston-Salem;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;2;419.459;838.918
29/01/2011;07/02/2011;SO43845;206;Monster Planned;Supplement Store;North America;United States;NC;North Carolina;Winston-Salem;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;2;419.459;838.918
29/01/2011;12/02/2011;SO43845;206;Monster Planned;Supplement Store;North America;United States;NC;North Carolina;Winston-Salem;324;Blended Protein;Blended Protein;2lbs;Chocolate;Protein;2;419.459;838.918
29/01/2011;10/02/2011;SO43846;318;Monster Steel;Supplement Store;North America;Canada;BC;British Columbia;Victoria;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;178.581;178.581
29/01/2011;07/02/2011;SO43901;385;Monster Superior;Supplement Store;North America;United States;CA;California;Gilroy;232;Long-Sleeve Logo Jersey;Jerseys;L;Red;Clothing;6;28.84;173.042
29/01/2011;05/02/2011;SO43876;270;Nutrition Bigger;Supplement Store;North America;United States;OH;Ohio;North Randall;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;3;419.459;1258.377
29/01/2011;18/02/2011;SO43897;312;Nutrition Life;Supplement Store;North America;United States;CA;California;Culver City;344;Hydrolyzed Whey Protein;Whey Protein;5lbs;Capuccino;Protein;6;2039.994;12239.964
29/01/2011;09/02/2011;SO43865;328;Nutrition Strong;Supplement Store;North America;United States;TX;Texas;San Antonio;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;2;419.459;838.918
29/01/2011;18/02/2011;SO43865;328;Nutrition Strong;Supplement Store;North America;United States;TX;Texas;San Antonio;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;3;419.459;1258.377
29/01/2011;18/02/2011;SO43865;328;Nutrition Strong;Supplement Store;North America;United States;TX;Texas;San Antonio;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;178.581;178.581
29/01/2011;18/02/2011;SO43899;364;Nutrition Way;Supplement Store;North America;United States;MO;Missouri;Ferguson;316;Hydrolyzed Whey Protein;Whey Protein;2lbs;Peanut Butter;Protein;2;874.794;1749.588
29/01/2011;18/02/2011;SO43916;348;Science Warehouse;Warehouse;North America;United States;CO;Colorado;Loveland;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;2;20.187;40.373
29/01/2011;15/02/2011;SO43862;99;Sense Warehouse;Warehouse;North America;United States;FL;Florida;Sarasota;347;Hydrolyzed Whey Protein;Whey Protein;5lbs;Banana;Protein;2;2039.994;4079.988
29/01/2011;16/02/2011;SO43879;569;Sportsman Department;Warehouse;North America;Canada;ON;Ontario;Nepean;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;3;178.581;535.742
29/01/2011;17/02/2011;SO43875;278;Storeadri;Warehouse;North America;United States;FL;Florida;Orlando;344;Hydrolyzed Whey Protein;Whey Protein;5lbs;Capuccino;Protein;6;2039.994;12239.964
29/01/2011;19/02/2011;SO43884;623;Storenest;Warehouse;North America;United States;MN;Minnesota;Minneapolis;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;8;5.187;41.492
29/01/2011;07/02/2011;SO43904;255;Supplements Bigger;Supplement Store;North America;United States;TX;Texas;Houston;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;4;419.459;1677.836
29/01/2011;10/02/2011;SO43917;218;Supplements Jog;Supplement Store;North America;United States;WA;Washington;Longview;315;Hydrolyzed Whey Protein;Whey Protein;2lbs;Vanilla;Protein;5;874.794;4373.97
29/01/2011;10/02/2011;SO43851;558;Supplements Marvel;Supplement Store;North America;United States;NH;New Hampshire;Tilton;342;Hydrolyzed Whey Protein;Whey Protein;1lbs;Banana;Protein;3;419.459;1258.377
29/01/2011;07/02/2011;SO43912;403;Supplements Viva;Supplement Store;North America;United States;CA;California;Lake Elsinore;342;Hydrolyzed Whey Protein;Whey Protein;1lbs;Banana;Protein;2;419.459;838.918
29/01/2011;19/02/2011;SO43870;107;Through Christ Fit;Gym;North America;United States;MA;Massachusetts;Randolph;322;Blended Protein;Blended Protein;2lbs;Vanilla;Protein;3;419.459;1258.377
29/01/2011;10/02/2011;SO43910;45;Warehouseverse;Warehouse;North America;United States;TN;Tennessee;La Vergne;330;Blended Protein;Blended Protein;2lbs;Coconut;Protein;2;419.459;838.918
29/01/2011;07/02/2011;SO43886;317;Workout Sports;Warehouse;North America;Canada;BC;British Columbia;Burnaby;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;1;419.459;419.459
29/01/2011;05/02/2011;SO43886;317;Workout Sports;Warehouse;North America;Canada;BC;British Columbia;Burnaby;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;1;419.459;419.459
29/01/2011;05/02/2011;SO43886;317;Workout Sports;Warehouse;North America;Canada;BC;British Columbia;Burnaby;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;1;419.459;419.459
01/03/2011;19/03/2011;SO44100;293;Brawn Department;Warehouse;North America;United States;UT;Utah;Park City;296;STEAK in Powder;Beef Protein;4lbs;Vanilla;Protein;2;714.704;1429.409
01/03/2011;16/03/2011;SO44115;366;Ensure Sports;Warehouse;North America;United States;CA;California;City Of Commerce;348;Isolate Whey Protein;Whey Protein;5lbs;Peanut Butter;Protein;3;2024.994;6074.982
01/03/2011;10/03/2011;SO44129;54;Factory Store;Warehouse;North America;United States;NY;New York;Melville;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;5;419.459;2097.295
01/03/2011;14/03/2011;SO44105;453;Fit Pro West;Gym;North America;United States;WI;Wisconsin;Milwaukee;219;Gym Sports Socks;Socks;L;Black;Clothing;2;5.7;11.4
01/03/2011;12/03/2011;SO44086;678;Haven Sports;Warehouse;North America;Canada;ON;Ontario;Toronto;351;Isolate Whey Protein;Whey Protein;5lbs;Cookies;Protein;4;2024.994;8099.976
01/03/2011;12/03/2011;SO44090;417;Knight Sports;Warehouse;North America;United States;TX;Texas;San Antonio;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;2;20.187;40.373
01/03/2011;08/03/2011;SO44109;91;Nutrition Anatomy;Supplement Store;North America;United States;OR;Oregon;Beaverton;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;2;419.459;838.918
01/03/2011;17/03/2011;SO44085;155;Nutrition Bigger;Supplement Store;North America;Canada;ON;Ontario;Toronto;338;100% Egg Protein;Egg Protein;2lbs;Banana;Protein;1;419.459;419.459
01/03/2011;19/03/2011;SO44085;155;Nutrition Bigger;Supplement Store;North America;Canada;ON;Ontario;Toronto;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;3;419.459;1258.377
01/03/2011;20/03/2011;SO44085;155;Nutrition Bigger;Supplement Store;North America;Canada;ON;Ontario;Toronto;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;1;419.459;419.459
01/03/2011;15/03/2011;SO44085;155;Nutrition Bigger;Supplement Store;North America;Canada;ON;Ontario;Toronto;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;2;5.187;10.373
01/03/2011;13/03/2011;SO44085;155;Nutrition Bigger;Supplement Store;North America;Canada;ON;Ontario;Toronto;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;178.581;178.581
01/03/2011;10/03/2011;SO44128;279;Nutrition Interval;Supplement Store;North America;United States;TN;Tennessee;Memphis;345;Hydrolyzed Whey Protein;Whey Protein;5lbs;Strawberry;Protein;2;2039.994;4079.988
01/03/2011;14/03/2011;SO44097;418;Nutrition Science;Supplement Store;North America;United States;WI;Wisconsin;Racine;319;Hydrolyzed Whey Protein;Whey Protein;2lbs;Chocolate;Protein;2;874.794;1749.588
01/03/2011;11/03/2011;SO44117;143;Nutrition Workout;Supplement Store;North America;United States;CT;Connecticut;East Haven;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;2;178.581;357.162
01/03/2011;17/03/2011;SO44079;57;Optimum Store;Warehouse;North America;United States;IL;Illinois;West Chicago;316;Hydrolyzed Whey Protein;Whey Protein;2lbs;Peanut Butter;Protein;3;874.794;2624.382
01/03/2011;20/03/2011;SO44079;57;Optimum Store;Warehouse;North America;United States;IL;Illinois;West Chicago;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;4;5.187;20.746
01/03/2011;15/03/2011;SO44127;608;Rediscover Store;Warehouse;North America;United States;CA;California;La Mesa;232;Long-Sleeve Logo Jersey;Jerseys;L;Red;Clothing;2;28.84;57.681
01/03/2011;08/03/2011;SO44093;93;Shield Department;Warehouse;North America;United States;TX;Texas;Round Rock;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;2;419.459;838.918
01/03/2011;19/03/2011;SO44124;3;Storeify;Warehouse;North America;United States;TX;Texas;Irving;330;Blended Protein;Blended Protein;2lbs;Coconut;Protein;2;419.459;838.918
01/03/2011;12/03/2011;SO44120;75;Storeworks;Warehouse;North America;United States;TX;Texas;Garland;304;STEAK in Powder;Beef Protein;4lbs;Banana;Protein;3;714.704;2144.113
01/03/2011;21/03/2011;SO44131;576;Supplements Fresh;Supplement Store;North America;United States;OH;Ohio;Mansfield;349;Isolate Whey Protein;Whey Protein;5lbs;Coconut;Protein;3;2024.994;6074.982
01/03/2011;08/03/2011;SO44106;116;Supplements Wellness;Supplement Store;North America;United States;GA;Georgia;Atlanta;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;1;419.459;419.459
01/03/2011;17/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;219;Gym Sports Socks;Socks;L;Black;Clothing;3;5.7;17.1
01/03/2011;11/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;218;Gym Sports Socks;Socks;M;Black;Clothing;2;5.7;11.4
01/03/2011;19/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;344;Hydrolyzed Whey Protein;Whey Protein;5lbs;Capuccino;Protein;1;2039.994;2039.994
01/03/2011;17/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;2;2024.994;4049.988
01/03/2011;16/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;345;Hydrolyzed Whey Protein;Whey Protein;5lbs;Strawberry;Protein;2;2039.994;4079.988
01/03/2011;15/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;1;2039.994;2039.994
01/03/2011;21/03/2011;SO44126;20;The Edge Rock Gym;Gym;North America;United States;WA;Washington;Kent;349;Isolate Whey Protein;Whey Protein;5lbs;Coconut;Protein;1;2024.994;2024.994
01/03/2011;17/03/2011;SO44111;460;Warehouseish;Warehouse;North America;Canada;QC;Quebec;Brossard;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;2;28.84;57.681
01/03/2011;16/03/2011;SO44113;187;Wellness Warehouse;Warehouse;North America;United States;CA;California;Cerritos;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;2;20.187;40.373
31/03/2011;17/04/2011;SO44283;227;Afterburner Store;Warehouse;North America;Canada;ON;Ontario;Toronto;276;PRO Weight Gainer;Gainer;5lbs;Banana;Carbs;2;356.898;713.796
31/03/2011;15/04/2011;SO44317;221;Bro Warehouse;Warehouse;North America;United States;NM;New Mexico;Las Cruces;310;Hydrolyzed Whey Protein;Whey Protein;5lbs;Chocolate;Protein;2;2146.962;4293.924
31/03/2011;20/04/2011;SO44295;83;Center Fitness;Gym;North America;Canada;ON;Ontario;Ottawa;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;3;419.459;1258.377
31/03/2011;21/04/2011;SO44306;423;Endure Warehouse;Warehouse;North America;United States;MS;Mississippi;Biloxi;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;6;419.459;2516.753
31/03/2011;11/04/2011;SO44306;423;Endure Warehouse;Warehouse;North America;United States;MS;Mississippi;Biloxi;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;4;419.459;1677.836
31/03/2011;13/04/2011;SO44306;423;Endure Warehouse;Warehouse;North America;United States;MS;Mississippi;Biloxi;334;100% Egg Protein;Egg Protein;2lbs;Strawberry;Protein;1;419.459;419.459
31/03/2011;17/04/2011;SO44306;423;Endure Warehouse;Warehouse;North America;United States;MS;Mississippi;Biloxi;326;Blended Protein;Blended Protein;2lbs;Peanut Butter;Protein;3;419.459;1258.377
31/03/2011;14/04/2011;SO44306;423;Endure Warehouse;Warehouse;North America;United States;MS;Mississippi;Biloxi;285;TrueFit Grass-Fed Protein;Meal Replacement;2lbs;Natural;Carbs;1;178.581;178.581
31/03/2011;13/04/2011;SO44316;431;Fitness Essentials;Gym;North America;United States;MI;Michigan;Holland;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;2;419.459;838.918
31/03/2011;08/04/2011;SO44316;431;Fitness Essentials;Gym;North America;United States;MI;Michigan;Holland;332;100% Egg Protein;Egg Protein;2lbs;Cookies;Protein;1;419.459;419.459
31/03/2011;14/04/2011;SO44316;431;Fitness Essentials;Gym;North America;United States;MI;Michigan;Holland;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;2;5.187;10.373
31/03/2011;15/04/2011;SO44315;292;Fuel House;Gym;North America;United States;TX;Texas;Houston;328;100% Egg Protein;Egg Protein;2lbs;Capuccino;Protein;2;419.459;838.918
31/03/2011;12/04/2011;SO44282;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;3;20.187;60.56
