OrderDate;DueDate;ShipDate;SalesOrderNumber;CustomerKey;Customer;BusinessType;Continent;CountryName;StateCode;StateName;CityName;ProductKey;ProductName;SubcategoryName;ProductSize;ProductDetail;CategoryName;OrderQuantity;UnitPrice;UnitCost;Discount %
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;2;$5.187;$1.557;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;218;Gym Sports Socks;Socks;M;Black;Clothing;6;$5.700;$1.698;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;4;$20.187;$6.057;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;1;$28.840;$8.655;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;229;Long-Sleeve Logo Jersey;Jerseys;M;Red;Clothing;3;$28.840;$8.655;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;349;Isolate Whey Protein;Whey Protein;5lbs;Coconut;Protein;1;$2024.994;$572.532;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;351;Isolate Whey Protein;Whey Protein;5lbs;Cookies;Protein;1;$2024.994;$569.394;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;350;Hydrolyzed Whey Protein;Whey Protein;5lbs;Caramel Ice Cream;Protein;3;$2024.994;$580.017;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;344;Hydrolyzed Whey Protein;Whey Protein;5lbs;Capuccino;Protein;1;$2039.994;$574.935;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;345;Hydrolyzed Whey Protein;Whey Protein;5lbs;Strawberry;Protein;1;$2039.994;$579.975;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;347;Hydrolyzed Whey Protein;Whey Protein;5lbs;Banana;Protein;1;$2039.994;$582.249;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43659;676;Supplements Gun;Supplement Store;North America;United States;GA;Georgia;Austell;346;Isolate Whey Protein;Whey Protein;5lbs;Chocolate;Protein;2;$2039.994;$574.914;2.64%
29/12/2010;10/01/2011;05/01/2011;SO43660;117;Legacy;Gym;North America;United States;GA;Georgia;Suwanee;326;Blended Protein;Blended Protein;2lbs;Peanut Butter;Protein;1;$419.459;$125.838;1.43%
29/12/2010;10/01/2011;05/01/2011;SO43660;117;Legacy;Gym;North America;United States;GA;Georgia;Suwanee;319;Hydrolyzed Whey Protein;Whey Protein;2lbs;Chocolate;Protein;1;$874.794;$262.440;1.43%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;223;Men's 3/4 Leggings;Vests;M;Black;Clothing;4;$5.187;$1.557;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;220;Platinum Multivitamin For Her;Vitamins;90 Tablets;NA;Vitamins;2;$20.187;$6.057;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;215;Women Multivitamin;Vitamins;120 Capsules;NA;Vitamins;5;$20.187;$6.057;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;235;Long-Sleeve Logo Jersey;Jerseys;XL;Red;Clothing;2;$28.840;$8.655;3.82%
29/12/2010;10/01/2011;05/01/2011;SO43661;442;Genius Warehouse;Warehouse;North America;Canada;ON;Ontario;Toronto;232;Long-Sleeve Logo Jersey;Jerseys;L;Red;Clothing;4;$28.840;$8.646;3.82%
